Compound_Name,MOL_WEIGHT,IC50,Target Name,SMILES
CHEMBL3934776,398.44,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CS(=O)(=O)Nc1ccc2c(c1)-c1c(c(C(N)=O)nn1-c1cccc(O)c1)CC2
CHEMBL3935039,488.93,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,COc1ccc(C(=O)Nc2ccc3c(c2)-c2c(c(C(N)=O)nn2-c2cccc(O)c2)CC3)c(Cl)c1
CHEMBL3935057,406.914,0.002512,RAC-alpha serine/threonine-protein kinase,Cc1cnn(C)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl
CHEMBL3935381,486.88,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc3c(c2)OCO3)c2c1cnc1ccc(NC(=O)c3cccnc3Cl)cc12
CHEMBL3935953,490.97,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,C[C@H](N)C(=O)Nc1ccc2c(c1)-c1c(c(C(N)=O)nn1-c1ccc(S(N)(=O)=O)cc1)CC2.Cl
CHEMBL3936045,459.89,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(O)cc2)c2c1CCc1ccc(NC(=O)c3cccnc3Cl)cc1-2
CHEMBL3938420,462.87,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(F)cc2)c2c1COc1ccc(NC(=O)c3ccccc3Cl)cc1-2
CHEMBL3938669,495.34,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(F)cc2)c2c1CCc1ccc(NC(=O)c3cccc(Cl)c3Cl)cc1-2
CHEMBL3939650,489,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CSc1ccc(-n2nc(C(N)=O)c3c2-c2cc(NC(=O)c4ccccc4Cl)ccc2CC3)cc1
CHEMBL3940049,459.9,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(N)nc2)c2c1CCc1ccc(NC(=O)c3ccncc3Cl)cc1-2
CHEMBL3940554,499.96,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(/C=C\CO)cc2)c2c1CCc1ccc(NC(=O)c3cccnc3Cl)cc1-2
CHEMBL3942043,473.92,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1ccnc(Cl)c1C(=O)Nc1ccc2c(c1)-c1c(c(C(N)=O)nn1-c1cccc(O)c1)CC2
CHEMBL3942234,435.51,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(S(=O)(=O)N3CC=CC3)cc2)c2c1CCc1ccc(N)cc1-2
CHEMBL3942312,428.54,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CSc1ccc(-n2nc(C(N)=O)c3c2-c2cc(NS(C)(=O)=O)ccc2CC3)cc1
CHEMBL3942525,392.887,0.002512,RAC-alpha serine/threonine-protein kinase,Cn1nccc1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)sc1Cl
CHEMBL3942793,497.47,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc3c(c2)OCO3)c2c1CCc1ccc(NC(=O)c3ccccc3[N+](=O)[O-])cc1-2
CHEMBL3943918,465.54,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNC(=O)/C=C/c1ccc(-n2nc(C(N)=O)c3c2-c2cc(NS(C)(=O)=O)ccc2CC3)cc1
CHEMBL3944935,488.53,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(S(N)(=O)=O)cc2)c2c1CCc1ccc(NC(=O)c3cccnc3)cc1-2
CHEMBL3945032,479.87,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(F)c(F)c2)c2c1CCc1ccc(NC(=O)c3cccnc3Cl)cc1-2
CHEMBL3945354,479.56,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(S(N)(=O)=O)cc2)c2c1CCc1ccc(NC(=O)C3CCCC3)cc1-2
CHEMBL3945497,475.91,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(F)cc2)c2c1CCc1ccc(NC(=O)c3ccc(N)cc3Cl)cc1-2
CHEMBL3945663,490.97,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,C[C@@H](N)C(=O)Nc1ccc2c(c1)-c1c(c(C(N)=O)nn1-c1ccc(S(N)(=O)=O)cc1)CC2.Cl
CHEMBL3946572,452.54,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(=O)CCc1ccc(-n2nc(C(N)=O)c3c2-c2cc(NS(C)(=O)=O)ccc2CC3)cc1
CHEMBL3946750,475.55,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCS(=O)(=O)Nc1ccc2c(c1)-c1c(c(C(N)=O)nn1-c1ccc(S(N)(=O)=O)cc1)CC2
CHEMBL3946934,454.56,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CN(C)CCNS(=O)(=O)c1ccc(-n2nc(C(N)=O)c3c2-c2cc(N)ccc2CC3)cc1
CHEMBL3948016,463.86,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(F)cc2)c2c1COc1ccc(NC(=O)c3ccncc3Cl)cc1-2
CHEMBL3948146,490.92,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,COc1ccc(C(=O)Nc2ccc3c(c2)-c2c(c(C(N)=O)nn2-c2ccc(F)cc2)CC3)c(Cl)c1
CHEMBL3948701,453.52,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(=O)Nc1ccc2c(c1)-c1c(c(C(N)=O)nn1-c1ccc(S(=O)(=O)N(C)C)cc1)CC2
CHEMBL3948967,488.89,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc3c(c2)OCO3)c2c1COc1ccc(NC(=O)c3ccccc3Cl)cc1-2
CHEMBL3951294,478.89,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2cc(F)cc(F)c2)c2c1CCc1ccc(NC(=O)c3ccccc3Cl)cc1-2
CHEMBL3951480,455.9,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CNCC(=O)Nc1ccc2c(c1)-c1c(c(C(N)=O)nn1-c1ccc3c(c1)OCO3)CC2.Cl
CHEMBL3951806,443.89,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2cccnc2)c2c1CCc1ccc(NC(=O)c3ccccc3Cl)cc1-2
CHEMBL3952025,456.921,0.002512,RAC-alpha serine/threonine-protein kinase,Cc1cnn(C)c1-c1cc(C(=O)N[C@H](CN)Cc2ccccc2C(F)(F)F)sc1Cl
CHEMBL3953580,453.52,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCCC(=O)Nc1ccc2c(c1)-c1c(c(C(N)=O)nn1-c1ccc(S(N)(=O)=O)cc1)CC2
CHEMBL3953878,411.264,0.001,RAC-alpha serine/threonine-protein kinase,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)oc1Cl
CHEMBL3953883,445.322,0.002512,RAC-alpha serine/threonine-protein kinase,Cn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)sc1Cl
CHEMBL3953970,479.87,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2cc(F)cc(F)c2)c2c1CCc1ccc(NC(=O)c3cccnc3Cl)cc1-2
CHEMBL3954842,493.59,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(S(N)(=O)=O)cc2)c2c1CCc1ccc(NC(=O)C3CCCCC3)cc1-2
CHEMBL3955912,477.48,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1ccc(C(=O)Nc2ccc3c(c2)-c2c(c(C(N)=O)nn2-c2ccc4c(c2)OCO4)CC3)cc1
CHEMBL3956281,474.56,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCS(=O)(=O)c1ccc(-n2nc(C(N)=O)c3c2-c2cc(NS(C)(=O)=O)ccc2CC3)cc1
CHEMBL3957758,488.53,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(S(N)(=O)=O)cc2)c2c1CCc1ccc(NC(=O)c3ccncc3)cc1-2
CHEMBL3959417,456.93,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1cccc(-n2nc(C(N)=O)c3c2-c2cc(NC(=O)c4ccccc4Cl)ccc2CC3)c1
CHEMBL3960077,477.35,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(Cl)cc2)c2c1CCc1ccc(NC(=O)c3ccccc3Cl)cc1-2
CHEMBL3960496,490.93,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC1Cc2c(C(N)=O)nn(-c3ccc(N)cc3F)c2-c2cc(NC(=O)c3ccncc3Cl)ccc21
CHEMBL3961742,440.48,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1ccccc1C(=O)Nc1ccc2c(c1)-c1c(c(C(N)=O)nn1-c1ccc(F)cc1)CC2
CHEMBL3963487,422.913,0.002512,RAC-alpha serine/threonine-protein kinase,COc1sc(C(=O)N[C@H](CN)Cc2cccc(F)c2)cc1-c1c(Cl)cnn1C
CHEMBL3963710,495.97,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cl.NC(=O)c1nn(-c2ccc3c(c2)OCO3)c2c1CCc1ccc(NC(=O)CNCC3CC3)cc1-2
CHEMBL3963964,487.9,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc([N+](=O)[O-])cc2)c2c1CCc1ccc(NC(=O)c3ccccc3Cl)cc1-2
CHEMBL3965437,463.86,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2cccc(F)c2)c2c1COc1ccc(NC(=O)c3cccnc3Cl)cc1-2
CHEMBL3965875,406.914,0.002512,RAC-alpha serine/threonine-protein kinase,Cc1sc(C(=O)N[C@H](CN)Cc2cccc(F)c2)cc1-c1c(Cl)cnn1C
CHEMBL3966471,467.55,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCCCC(=O)Nc1ccc2c(c1)-c1c(c(C(N)=O)nn1-c1ccc(S(N)(=O)=O)cc1)CC2
CHEMBL3966544,463.86,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(F)cc2)c2c1COc1ccc(NC(=O)c3cccnc3Cl)cc1-2
CHEMBL3966848,487.95,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(O)c1ccc(-n2nc(C(N)=O)c3c2-c2cc(NC(=O)c4cccnc4Cl)ccc2CC3)cc1
CHEMBL3967561,472.93,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,COc1cccc(-n2nc(C(N)=O)c3c2-c2cc(NC(=O)c4ccccc4Cl)ccc2CC3)c1
CHEMBL3968297,390.846,0.002512,RAC-alpha serine/threonine-protein kinase,Cc1cnn(C)c1-c1cc(C(=O)N[C@H](CN)Cc2cccc(F)c2)oc1Cl
CHEMBL3969826,484.99,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(C)c1ccc(-n2nc(C(N)=O)c3c2-c2cc(NC(=O)c4ccccc4Cl)ccc2CC3)cc1
CHEMBL3971041,469.46,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc3c(c2)OCO3)c2c1CCc1ccc(NC(=O)c3cccc(O)n3)cc1-2
CHEMBL3971602,443.89,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccncc2)c2c1CCc1ccc(NC(=O)c3ccccc3Cl)cc1-2
CHEMBL3971992,459.349,0.002512,RAC-alpha serine/threonine-protein kinase,CCn1ncc(Cl)c1-c1cc(C(=O)N[C@H](CN)Cc2ccc(F)c(F)c2)sc1Cl
CHEMBL3973154,467.92,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,C#Cc1ccc(-n2nc(C(N)=O)c3c2-c2cc(NC(=O)c4cccnc4Cl)ccc2CC3)cc1
CHEMBL3973163,427.44,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(F)cc2)c2c1CCc1ccc(NC(=O)c3ccncc3)cc1-2
CHEMBL3974137,460.9,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2cccc(F)c2)c2c1CCc1ccc(NC(=O)c3ccccc3Cl)cc1-2
CHEMBL3974370,458.91,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(O)cc2)c2c1CCc1ccc(NC(=O)c3ccccc3Cl)cc1-2
CHEMBL3975076,473.56,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(S(N)(=O)=O)cc2)c2c1CCc1ccc(NCc3ccccc3)cc1-2
CHEMBL3975246,489.88,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc3c(c2)OCO3)c2c1COc1ccc(NC(=O)c3ccncc3Cl)cc1-2
CHEMBL3976461,494.89,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2cc(F)c(N)c(F)c2)c2c1CCc1ccc(NC(=O)c3ccncc3Cl)cc1-2
CHEMBL3976791,478.34,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(Cl)cc2)c2c1CCc1ccc(NC(=O)c3cnccc3Cl)cc1-2
CHEMBL3977749,475.91,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(F)cc2)c2c1CCc1ccc(NC(=O)c3cc(N)ccc3Cl)cc1-2
CHEMBL3978464,383.25,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(Br)cc2)c2c1CCc1ccc(N)cc1-2
CHEMBL3978917,449.92,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccsc2)c2c1CCc1ccc(NC(=O)c3ccncc3Cl)cc1-2
CHEMBL3980554,372.35,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccc(C(F)(F)F)cc2)c2c1CCc1ccc(N)cc1-2
CHEMBL3980740,495.97,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cl.NC(=O)c1nn(-c2ccc3c(c2)OCO3)c2c1CCc1ccc(NC(=O)CN3CCCC3)cc1-2
CHEMBL3981465,457.92,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2cccc(N)c2)c2c1CCc1ccc(NC(=O)c3ccccc3Cl)cc1-2
CHEMBL3981558,411.49,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CN(C)S(=O)(=O)c1ccc(-n2nc(C(N)=O)c3c2-c2cc(N)ccc2CC3)cc1
CHEMBL3982982,460.9,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2ccccc2F)c2c1CCc1ccc(NC(=O)c3ccccc3Cl)cc1-2
CHEMBL3983685,494.51,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CC(=O)c1ccc(C(=O)Nc2ccc3c(c2)-c2c(c(C(N)=O)nn2-c2ccc4c(c2)OCO4)CC3)cc1
CHEMBL3984040,463.56,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,C=CCN(CC=C)S(=O)(=O)c1ccc(-n2nc(C(N)=O)c3c2-c2cc(N)ccc2CC3)cc1
CHEMBL3984511,396.47,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CCS(=O)(=O)c1ccc(-n2nc(C(N)=O)c3c2-c2cc(N)ccc2CC3)cc1
CHEMBL3984651,462.43,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1nn(-c2cccc(F)c2)c2c1CCc1ccc(NC(=O)c3cccc(F)c3F)cc1-2
CHEMBL3986259,476.52,1,Inhibitor of nuclear factor kappa-B kinase subunit beta,CS(=O)(=O)c1ccc(-n2nc(C(N)=O)c3c2-c2cc(NC(=O)c4cn[nH]c4)ccc2CC3)cc1
CHEMBL424766,353.31,0.7,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(-c2ccccc2C(=O)[O-])cc(-c2ccccc2O)nc1N.[Na+]
CHEMBL426140,534.66,0.0007,RAC-alpha serine/threonine-protein kinase,Cc1ccc(CC(C)(C)C2C(=O)Nc3ccc(-c4cncc(OC[C@@H](N)Cc5c[nH]c6ccccc56)c4)cc32)o1
CHEMBL426532,454.55,0.25119,Inhibitor of nuclear factor kappa-B kinase subunit beta,COCCCNNS(=O)(=O)c1ccc(-c2cc(-c3ccccc3)cc(C(N)=O)c2N)cc1
CHEMBL4281435,504.82,0.0269,RAC-alpha serine/threonine-protein kinase,O=C(N1CCN(c2ncnc3[nH]nc(Br)c23)CC1)C1(c2ccc(Cl)cc2)CCNCC1
CHEMBL4282775,504.82,0.0329,RAC-alpha serine/threonine-protein kinase,O=C(N1CCN(c2ncnc3[nH]nc(Cl)c23)CC1)C1(c2ccc(Br)cc2)CCNCC1
CHEMBL4284420,460.369,0.0666,RAC-alpha serine/threonine-protein kinase,O=C(N1CCN(c2ncnc3[nH]nc(Cl)c23)CC1)C1(c2ccc(Cl)cc2)CCNCC1
CHEMBL4284710,357.24,0.143,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=C(Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1nsnc1O
CHEMBL4284849,539.265,0.0305,RAC-alpha serine/threonine-protein kinase,O=C(N1CCN(c2ncnc3[nH]nc(Br)c23)CC1)C1(c2ccc(Cl)c(Cl)c2)CCNCC1
CHEMBL4285143,494.814,0.0243,RAC-alpha serine/threonine-protein kinase,O=C(N1CCN(c2ncnc3[nH]nc(Cl)c23)CC1)C1(c2ccc(Cl)c(Cl)c2)CCNCC1
CHEMBL4287264,322.76,0.09,Inhibitor of nuclear factor kappa-B kinase subunit beta,O=C(Nc1cc(Cl)c2c(c1)[nH]c1cnccc12)c1cccnc1
CHEMBL4292059,549.271,0.0519,RAC-alpha serine/threonine-protein kinase,O=C(N1CCN(c2ncnc3[nH]nc(Br)c23)CC1)C1(c2ccc(Br)cc2)CCNCC1
CHEMBL434691,454.42,0.9,Inhibitor of nuclear factor kappa-B kinase subunit beta,N#Cc1c(-c2cccc(NC(=O)C(O)CCC(=O)[O-])c2)cc(-c2ccccc2O)nc1N.[Na+]
CHEMBL4435124,455.386,0.001,RAC-alpha serine/threonine-protein kinase,Cl.Cn1ncc(Cl)c1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2cccc(F)c2)s1
CHEMBL4438248,437.396,0.0102,RAC-alpha serine/threonine-protein kinase,Cl.Cn1nccc1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)s1
CHEMBL4444441,499.837,0.00546,RAC-alpha serine/threonine-protein kinase,Cl.Cn1ncc(Br)c1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2cccc(F)c2)s1
CHEMBL4445702,420.941,0.0106,RAC-alpha serine/threonine-protein kinase,Cl.Cn1nccc1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2cccc(F)c2)s1
CHEMBL4446375,500.508,0.7096,RAC-alpha serine/threonine-protein kinase,Cn1nccc1-c1coc(C(=O)NC2CNCCC2c2ccccc2)c1.O=C(O)[C@H](O)[C@@H](O)C(=O)O
CHEMBL4451854,455.386,0.00126,RAC-alpha serine/threonine-protein kinase,Cl.Cn1ncc(Cl)c1-c1csc(C(=O)N[C@@H]2CNCC[C@H]2c2cccc(F)c2)c1
CHEMBL4454791,471.841,0.0018,RAC-alpha serine/threonine-protein kinase,Cl.Cn1ncc(Cl)c1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(Cl)cc2)s1
CHEMBL4455194,450.967,0.0622,RAC-alpha serine/threonine-protein kinase,Cl.Cn1ncc(CO)c1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2cccc(F)c2)s1
CHEMBL4460688,539.838,0.0652,RAC-alpha serine/threonine-protein kinase,Cl.Cn1ncc(Cl)c1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(Cl)c(C(F)(F)F)c2)s1
CHEMBL4461200,464.95,0.101,RAC-alpha serine/threonine-protein kinase,Cl.Cn1ncc(C(=O)O)c1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2cccc(F)c2)s1
CHEMBL4467970,446.979,0.0469,RAC-alpha serine/threonine-protein kinase,C=Cc1cnn(C)c1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2cccc(F)c2)s1.Cl
CHEMBL4472173,318.38,0.07943,Inhibitor of nuclear factor kappa-B kinase subunit beta,NC(=O)c1cc(-c2ccccc2)cc2c(C3CCC(=O)C3)c[nH]c12
CHEMBL4513257,428.927,0.0037,RAC-alpha serine/threonine-protein kinase,Cl.NCc1ccc(-n2c(-c3cccnc3N)nc3ccc(-c4ccccc4)nc32)cc1
CHEMBL4519558,526.044,0.041,RAC-alpha serine/threonine-protein kinase,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(C5(N)CCC5)cc4)c3n2)c1.Cl
CHEMBL4526242,497.039,0.0704,RAC-alpha serine/threonine-protein kinase,Cl.Cn1ncc(-c2ccccc2)c1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2cccc(F)c2)s1
CHEMBL4543768,380.883,1,RAC-alpha serine/threonine-protein kinase,Cc1cc2nc(-c3cccnc3N)n(-c3ccc(CN)cc3)c2nc1C.Cl
CHEMBL4544109,469.98,0.056,RAC-alpha serine/threonine-protein kinase,Cl.Nc1ncccc1-c1nc2ccc(-c3cccnc3)nc2n1-c1ccc(C2(N)CCC2)cc1
CHEMBL4545250,387.274,0.27,RAC-alpha serine/threonine-protein kinase,Cl.NCc1ccc(-n2c(-c3cccnc3N)nc3ccc(Cl)nc32)cc1
CHEMBL4545734,539.838,0.0353,RAC-alpha serine/threonine-protein kinase,Cl.Cn1ncc(Cl)c1-c1csc(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(Cl)c(C(F)(F)F)c2)c1
CHEMBL4546484,485.979,0.013,RAC-alpha serine/threonine-protein kinase,CC(=O)Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CN)cc4)c3n2)c1.Cl
CHEMBL4550916,429.915,0.036,RAC-alpha serine/threonine-protein kinase,Cl.NCc1ccc(-n2c(-c3cccnc3N)nc3cc(-c4cccnc4)cnc32)cc1
CHEMBL4554198,448.995,0.0489,RAC-alpha serine/threonine-protein kinase,CCc1cnn(C)c1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2cccc(F)c2)s1.Cl
CHEMBL4556790,450.892,0.004,RAC-alpha serine/threonine-protein kinase,Cl.Cn1nccc1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(F)c(F)c2)c(F)c1
CHEMBL4558319,431.725,0.32,RAC-alpha serine/threonine-protein kinase,Cl.NCc1ccc(-n2c(-c3cccnc3N)nc3cc(Br)cnc32)cc1
CHEMBL4565210,366.856,0.27,RAC-alpha serine/threonine-protein kinase,Cc1cnc2c(c1)nc(-c1cccnc1N)n2-c1ccc(CN)cc1.Cl
CHEMBL4568743,366.856,0.5,RAC-alpha serine/threonine-protein kinase,Cc1ccnc2c1nc(-c1cccnc1N)n2-c1ccc(CN)cc1.Cl
CHEMBL4570911,536.488,0.191,RAC-alpha serine/threonine-protein kinase,Cn1nccc1-c1coc(C(=O)NC2CNCCC2c2ccc(F)c(F)c2)c1.O=C(O)[C@H](O)[C@@H](O)C(=O)O
CHEMBL4574111,484.007,0.0019,RAC-alpha serine/threonine-protein kinase,Cl.Nc1cccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(C5(N)CCC5)cc4)c3n2)c1
CHEMBL4576518,418.892,0.017,RAC-alpha serine/threonine-protein kinase,Cl.NCc1ccc(-n2c(-c3cccnc3N)nc3ccc(-c4cn[nH]c4)nc32)cc1
CHEMBL4577134,498.027,0.0999,RAC-alpha serine/threonine-protein kinase,Cl.Cn1ncc(-c2ccncc2)c1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2cccc(F)c2)s1
CHEMBL4579551,434.968,0.009,RAC-alpha serine/threonine-protein kinase,Cc1cnn(C)c1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2cccc(F)c2)s1.Cl
CHEMBL4586184,485.979,0.072,RAC-alpha serine/threonine-protein kinase,CC(=O)Nc1ccc(-c2ccc3nc(-c4cccnc4N)n(-c4ccc(CN)cc4)c3n2)cc1.Cl
CHEMBL4635254,480.399,0.008,RAC-alpha serine/threonine-protein kinase,Cl.Cl.NC1(c2ccc(-c3nc4ccn5c(=O)[nH]nc5c4cc3-c3ccccc3)cc2)CCC1
CHEMBL471496,291.79,0.24,Inhibitor of nuclear factor kappa-B kinase subunit beta,Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1.Cl
CHEMBL479473,395.455,0.16,Multidrug-resistant human KBV1 cells ,COC1=CC2=C(C=C1)C3=C([C@H]([C@H]4CCC[N+]4(C3)[O-])O)C5=CC(=C(C=C52)OC)OC
CHEMBL484042,349.43,0.026,Human Bel-7402 cells,COC1=C(C=C2C(=C1)C3=C(CN4CCC[C@@H]4C3)C5=C2C=C(C=C5)O)OC
CHEMBL4847466,464.919,0.176,RAC-alpha serine/threonine-protein kinase,CCn1nccc1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(F)c(F)c2)c(F)c1.Cl
CHEMBL4849035,379.37,0.551,ATR - ATR checkpoint kinase,C1COCC=C1C2=NN=C3N2C4=C(C=CC(=C4)C5=CC(=CN=C5)C(F)F)N=C3
CHEMBL4852887,450.892,0.1072,RAC-alpha serine/threonine-protein kinase,Cl.Cn1nccc1-c1cc(F)c(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(F)cc2)c(F)c1
CHEMBL4854839,436.865,0.083,RAC-alpha serine/threonine-protein kinase,Cl.O=C(N[C@@H]1CNCC[C@H]1c1ccc(F)c(F)c1)c1ccc(-c2ccn[nH]2)cc1F
CHEMBL4855363,468.882,0.0092,RAC-alpha serine/threonine-protein kinase,Cl.Cn1nccc1-c1cc(F)c(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(F)c(F)c2)cc1F
CHEMBL4858782,467.347,0.024,RAC-alpha serine/threonine-protein kinase,Cl.Cn1nccc1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(F)c(F)c2)c(Cl)c1
CHEMBL4859898,547.778,0.0957,RAC-alpha serine/threonine-protein kinase,Cl.Cn1ncc(Br)c1-c1cc(F)c(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(F)c(F)c2)c(F)c1
CHEMBL4860306,425.921,0.27,RAC-alpha serine/threonine-protein kinase,CC(C)C[C@@H](NC(=O)C1(N)CCN(c2ncnc3[nH]ccc23)CC1)C(=O)NO.Cl
CHEMBL4866810,450.892,0.0046,RAC-alpha serine/threonine-protein kinase,Cl.Cn1nccc1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2cc(F)cc(F)c2)c(F)c1
